Theta_0,Theta_1,Theta_2,Theta_3
-1.125128684070717,-0.7075663216120274,-0.8622246047661407,-1.2661103332548327
-0.48461553183503614,0.7537279337880021,0.29436603708081105,-0.6011398812181594
-0.2274848440223766,-0.9839526287432357,0.6472082618914179,0.5715191624090693
0.21097728164863144,0.5345009665773843,0.20168795882954035,-0.944636592521037
-0.11180841432514041,-0.5422901473563309,0.8642976405781586,-0.18006739157051502
0.45634061429676875,-0.8079837217215224,0.6999343318196267,-0.2758880448805788
-0.6377117344186884,0.35059948963680115,0.10030800615772975,0.12153109888424576
-0.6909960489754279,0.34641209358857494,0.11315129539425153,0.17702515602071134
-0.32560655934018784,-0.14354215952163143,0.779680278023622,-0.3234311805635215
0.6425806809013846,-0.19689637076387476,-0.03713479113422875,-0.35654838197136807
