Theta_0,Theta_1,Theta_2,Theta_3
-1.217779143571006,-0.7613164268292468,-0.9568172618796152,-1.373269262437792
-0.5183618827343566,0.7949922519508781,0.3010277762872179,-0.6366400682496456
-0.22788666610074748,-1.05659161025367,0.6803525676914862,0.62131338947741
0.2101931744495189,0.5770206681084483,0.20377376721975113,-1.0109000289140047
-0.11141025229726817,-0.5851330462744878,0.9090754993486011,-0.18495490505606801
0.4805093227255579,-0.8699353780030292,0.7286748209557077,-0.2898692908264522
-0.6594697705014403,0.37698312710671006,0.09305981256554423,0.12360557963479696
-0.7268757325636704,0.35613709330462984,0.1170799470434679,0.1993798782988719
-0.34656230607080163,-0.15838484093481858,0.8085217856902164,-0.34050562723366407
0.6680558643179548,-0.20513266082082973,-0.03983569200081593,-0.382079119889477
