Theta_0,Theta_1,Theta_2,Theta_3
-2.8206727050515608,-1.9915644773389123,-2.2366083687968725,-3.152698536442808
-0.9290257612839414,1.6154349273405493,0.5525292808597445,-1.0721889159564868
-0.3078935178353096,-2.0446661821156336,1.159631730336929,1.185183501315376
0.6545322987297418,0.9624768332350373,0.10492532254971872,-1.78390512302694
-0.06328328984805813,-0.9911021133165517,1.2233261138099276,-0.31121067653235807
0.7298309771949414,-1.5722010695825412,1.1595758651197077,-0.44050570970379765
-0.7827953623015688,0.6419380922775778,0.02142656069256213,0.1852219015935784
-1.0363702825534504,0.5286211058021177,-0.009155188227208807,0.571550318843102
-0.31223176263928004,-0.369160187597545,1.1888031137809174,-0.5455669312767691
0.9892036263748557,-0.4542183324831792,-0.035354280849297426,-0.5631397628411222
